title_href,selling_proposition,price,discount,available_color,product_title,main_category
https://us.shein.com/10pairs-Children-s-Random-Color-Solid-Smile-Face-Design-Athletic-Cute-Mid-Calf-Socks-For-Daily-Wear-p-28590455.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,6.0,9.0,5.0,10pairs Children's Random Color Solid Smile Face Design Athletic Cute Mid-Calf Socks For Daily Wear,Baby & Maternity
https://us.shein.com/SHEIN-Baby-Boy-Casual-Minimalist-Letter-Pattern-T-Shirt-And-Shorts-Set-Suitable-For-Summer-Outfits-p-15522066.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.3k+ sold recently,4.44,45.0,10.0,"SHEIN Baby Boy Casual & Minimalist Letter Pattern T-Shirt And Shorts Set, Suitable For Summer Outfits",Baby & Maternity
https://us.shein.com/Baby-Girl-Ombre-Pleated-Casual-Cami-Top-And-Wide-Leg-Pants-p-31380114.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.0k+ sold recently,9.0,7.0,6.0,Baby Girl Ombre Pleated Casual Cami Top And Wide Leg Pants,Baby & Maternity
https://us.shein.com/Baby-Girls-One-Piece-Swimsuit-With-Cartoon-Print-And-Hollow-Out-Waist-And-Ruffle-Trim-Comes-With-A-Swimming-Cap-p-27065050.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,,5.4,8.0,4.0,"Baby Girls' One-Piece Swimsuit With Cartoon Print And Hollow-Out Waist And Ruffle Trim, Comes With A Swimming Cap",Baby & Maternity
https://us.shein.com/Baby-Girls-Spring-Autumn-Cute-Bow-Knot-Knee-High-Socks-With-Loose-Mouth-Design-p-31898714.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,300+ sold recently,0.85,50.0,4.0,Baby Girls' Spring/Autumn Cute Bow Knot Knee-High Socks With Loose Mouth Design,Baby & Maternity
https://us.shein.com/SHEIN-2pcs-Set-Baby-Boys-Solid-Color-Casual-T-Shirt-And-Shorts-Spring-And-Autumn-p-17937380.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,1.6k+ sold recently,8.6,8.0,8.0,"SHEIN 2pcs/Set Baby Boys' Solid Color Casual T-Shirt And Shorts, Spring And Autumn",Baby & Maternity
https://us.shein.com/Baby-Boys-Girls-Short-Sleeve-Rompers-Baby-One-Piece-Outfit-Romper-p-36239052.html?src_identifier=fc%3DBaby%20%26%20Maternity%60sc%3DBaby%20%26%20Maternity%60tc%3D0%60oc%3D0%60ps%3Dtab13navbar13%60jc%3DitemPicking_017172967&src_module=topcat&src_tab_page_id=page_select_class1718920048372&mallCode=1&pageListType=2,30+ sold recently,4.8,0.0,1.0,Baby Boys Girls Short Sleeve Rompers Baby One-Piece Outfit Romper,Baby & Maternity
,700+ sold recently,1.8,10.0,1.0,"1pc Children's Butterfly Printed Wide Brim Bonnet, Elastic Comfortable Headwear For Daily Use & Sleep",Baby & Maternity
,1.6k+ sold recently,4.85,10.0,10.0,SHEIN Baby Girl One Shoulder Top & Paper Bag Waist Shorts,Baby & Maternity
,3.7k+ sold recently,5.09,18.0,1.0,Baby Boy Dinosaur Print Patched Pocket Tee & Shorts,Baby & Maternity
,2.8k+ sold recently,5.27,19.0,1.0,Baby Boys' Slogan Printed Casual Short Sleeve T-Shirt And Shorts Set For Spring And Summer,Baby & Maternity
,,3.5,8.0,8.0,Baby Girl Slogan Graphic Birth Bulletin Card Photography Prop,Baby & Maternity
